english,rohingya,word_type,category
CD,komputar or rekáadh,n.,general
CPR-Cardio Pulmonary Resuscitation maincór,kolób arde fécca ré jan anóon ar úñc goróon,n.,general
CPU,komputar or kolób,n.,general
CT,jisím cekgoréde micín,n.,general
Cairo,Kairou cóor,n.,general
Canberra,Kenbera thoón,n.,general
Charlie,‘C’ yor koudh lofzó,n.,general
China,Sina,n.,general
China,Sinar dec,n.,general
Christ,Kríst,n.,general
Christ,Christ ór mutti,n.,general
Christ,Christ ór fothú,n.,general
Christian,Kriccen,n.,general
Christian,Nosáara,n.,general
Christmas,Krísmás,n.,general
Commonwealth,Komónwél,n.,general
Commonwealth,DoulotCórik,n.,general
DNR,Do Not Resuscitate jan ar húñc nu ainnó,phrase.,general
Darwin,Darwin sáiñsdan,n.,general
December,Disambor,n.,general
England,Englén,n.,general
English,Ingilíc,n.,general
English,Ingirazi,n.,general
English,Ingilizi,n.,general
English,Angerizi,n.,general
Europe,Yurup,n.,general
Faculty of Commerce,Hasharbar ór Fekálthi,n.,general
Faculty of Engineering,Inginiár ór Fekálthi,n.,general
Faculty of Islamic Law,Islami Kaanun ór Fekálthi,n.,general
Faculty of Medicine,Dabair Fekálthi,n.,general
Feb,Februari,n.,general
February,Februari,n.,general
France,Fráns dec,n.,general
Friday,Cúkkubar,n.,general
Gabriel,Jibrail fírista,n.,general
Gabriel,Allahr hóborgwa,n.,general
Germany,Jarmón dec,n.,general
God,Allah,n.,general
God,Rób,n.,general
God,Faloya,n.,general
God,Prowardegar,n.,general
God,Árrahamán,n.,general
Greece,Grís dec,n.,general
Guinea,Guinea dec,n.,general
Guinean,Guinean’r manúic,n.,general
HIV,biaram fáith gorá komzur óizagóide biaram,n.,general
HIV Human Immune Deficiency Virus,maincór dofágorá komzur goréde fuk,n.,general
He You,Yaá,n.,general
Hon,Mohótorom,n.,general
Human Rights Chief,Insáni Hók ókkol ór Boro,n.,general
Human Rights Commission,Insáni Hók ókkol ór Komisen,n.,general
I,añí,pron.,general
I,mui,pron.,general
I,aññí,pron.,general
I,amí,pron. Bangali.,general
I am,añí,phrase.,general
I am fine,añí gom así,phrase.,general
I have,añártu,phrase.,general
I have,añár tu,phrase.,general
ICU Intensive Care Unit,Entahá Kérmosor Hána,n.,general
ID,sinnor kaádh,n.,general
ID,ID kaádh,n.,general
IHMS,IHMS kompani,n.,general
IHMS International Health and Medical Services,Alomi Sehét arde Daktori Hédmot ókkol,ASDH,general
IT,Komputar teknoloji,n.,general
IT,maalumat or teknoloji,n.,general
IUD,Intrauterine Device Fuain noóibélla Rukéde Ziníc,n.,general
India,Índhia,n.,general
India,Índhiyar dec,n.,general
Indonesia,Indunisía,n.,general
Iranian,Iran or manúic,n.,general
Iraq,Irak,n.,general
Iraq,Irak dec,n.,general
Iraqi,Iraqor manúic,n.,general
Isaac,Isahák,n.,general
Islam,Islám,n.,general
Islam,Musúlman ór din,n.,general
Islamic,Islami,adj.,general
Istanbul,Istanbul cóor,n.,general
Jaber,Rohingyar maincór aám nam,pron.,general
Jahangir,Jáhangir – Rohingya maincór nam,pron.,general
Jamal,Jamal – Rohingya maincór aám nam,pron.,general
January,Januari,n.,general
Japan,Jafan,n.,general
Japan,Zafan,n.,general
Japan,Jafan or manúic,n.,general
Jeddah,Jiddá cóor,n.,general
Jeffrey,Jeffrey,n.,general
Jesus,poigambor Isá,n.,general
Jew,Juú,n.,general
Julia,Julia,n.,general
Julie,Julie,n.,general
July,Julai,n.,general
Juma,Jumá,n.,general
Juma,Cúkkubar or numáz,n.,general
June,Jun,n.,general
June,Jun mác,n.,general
Jupiter,Jupitar,n.,general
Kaaba,Kaabá,n.,general
Kaaba,Allahr gór,n.,general
Kuwait,Kuwéit dec,n.,general
LWB Life without Barriers,Rukawoth Sára Zindigi,phrase.,general
LWB Life without Barriers,Rukawoth Sára Háyat,phrase.,general
Lord,Rób,n.,general
Lord,Faloya f,n.,general
MOU,MOU,n.,general
MOU,buzábuzi,n.,general
MP,Paalimen Membór,n.,general
Malaysia,Malésia,n.,general
Malaysia,Malésíar dec,n.,general
Manus,Manús dec,n.,general
Manusian,Manús ór manúic,n.,general
March,Maarec,n.,general
Mars,Márs,n.,general
May,Mee,n.,general
May,Mee mác,n.,general
Messenger,Rosúl,n.,general
Messenger,hóborgwa,n.,general
Monday,Cómbar,n.,general
Muhammad,Rosúl ór nam,n.,general
Muhammad,common Muslim names,n.,general
Muslim,Musúlman,n.,general
Muslim,Musílim,n.,general
NGO,Hókumot Noóde Tonzim,n.,general
Nauru,Neerú dec,n.,general
Negros,Neguru koum,n.,general
Neptune,Nepthún,n.,general
Nicholas,Nicholas fadúri,n.,general
November,Nowambor,n.,general
OB,fuabiya arde dekbal gorá,adj.,general
October,Oktubor,n.,general
Oh Allah,Yá Allah,excl.,general
Oh Sustainer,Yáarob,n.,general
Ops!,Yáki,n.,general
Oscar,Oskar,n.,general
Oscar,Oskar bokcíc,n.,general
PC,zati komputar,n.,general
PC,komputar,n.,general
Pacific,Pesifík,n.,general
Pacific,cántir,n.,general
Pakistan,Fakistán,n.,general
Papua,Papua Gunea dec,n.,general
Perspex,foór daházar dé plástík,n.,general
Philippine,Filipin,n.,general
Philippine,Filipin or dec,n.,general
Prophet,Rosúl,n.,general
Prophet,poigambor,n.,general
Prophet Ibrahim,Poikambor Ibrahím,pron.,general
Pty,Pty,n.,general
Pty,proprietary,n. adj.,general
Pty,mulkíyot,n. adj.,general
Pty,nozor,adj.,general
Quraish,Quraici,n.,general
Quraish,Quraici koum,n.,general
Quran,Kuran,n.,general
Quran,Quran,n.,general
Quran,Qur’an,n.,general
Quranic,Quranor,adj.,general
Quranic,Quran loi goijjá,adj.,general
RAM,komputhar or memori,n.,general
RSS,Really Simple Syndication,n.,general
RSS,waakí uzu ham,n.,general
Rakhine,Rakhine people,n.,general
Rakhine,Magh people,n.,general
Rakhine,Arakan people,n.,general
Rangoon,Rengun,n.,general
Rangoon,Yangon,n.,general
Riyal,Riyál,n.,general
Rohingya,Ruáingga,n.,general
Rohingya,Rooinga,n.,general
Rohingya,Arkani,n.,general
Rohingya,Arakani,n.,general
Rohingya,Ruháingga,n.,general
Rohingya,Ruwáingga,n.,general
Rohingya,Arkainna,n.,general
Rohingya,Arakanese,n.,general
Rohingya,Bormáwi,n.,general
Rohingya,Bormáya,n.,general
Saturday,Cónibar,n.,general
Saturn,Satan grudhú,n.,general
Septembe,Séptembor,n.,general
Simon,Amerikar gana goóuya,n.,general
Sunday,Rooibar,n.,general
Switzerland,Swizarlen,n.,general
Switzerland,ekkán yurub or dec,n.,general
Sydney,Sydney,n.,general
Sydney,ekkán Ostrelíar boro cóor,n.,general
Syria,Siríya Syria dec,n.,general
T-shirt,T-cáth,n.,general
T-shirt,T-bazu,n.,general
TB,TB Biaram,n.,general
TB,feccár biaram,n.,general
TM translation memory,torjuma yaatraká,n.,general
TV,telivícen,n.,general
Taif,Taif cóor,n.,general
Thursday,Bicíbbar,n.,general
Tuesday,Mongolbar,n.,general
UN,Bainela Koum,n.,general
UNHCR,UNHCR,n.,general
URL,intarnéth ór rabeta,n.,general
UTI Urinary Track Infection,fecák ór rastat gáa óiye,n.,general
United Nations,Bainela Koum,n.,general
United Nations,Akuwame Muttáhada,n.,general
United Nations,Zati Cónggo,n.,general
Venus,Vénas grudhú,n.,general
Wales,Wales zaga,n.,general
Washington,Washington cóor,n.,general
Wednesday,Buidbar,n.,general
Xerox,fothu kopí goróon,n.,general
Xerox,fothu kopi micín,n.,general
Y,25 nombór ór Ingilíc hórof,n.,general
Y-chromosome,maincór DNA’t aséde jiníc,n.,general
YHA,Juan Hósthel ókkol Faathi,n.,general
YMCA,Hoicca Maincór Kriccen Jomát,n.,general
YTS,Youth Training Scheme,n.,general
YWCA,Young Women’s Kriccen Association,n.,general
YWCA,Hoicca Maiyafuain dór Kriccen Jomát,n.,general
Yale,Yéil sabí,n.,general
Yangon,Rengun – Bormár sóbse boro cóor,n.,general
Yankee,Amerikar uttor or manúic,n.,general
Yaqub,Yaqub poikambor,n.,general
Yasin,Yasín súura – Quran ottú,n.,general
Yemen,Yomón,n.,general
Yemen,Yomón ór dec,n.,general
Yom Kippur,Yohúdi ókkol ór bosóri ruza,n.,general
Yorkshire pudding,Yókcáyar ór futhin,n.,general
Yugoslavia,Yuguslavia,n.,general
Yugoslavia,Yuguslaviar dec,n.,general
Yunus,Yunus poikambor,pron.,general
Yusuf,Yusúf poikambor,pron.,general
Z,ahéri hórof,n.,general
Zafor,Zafór – aám Ruáinga maincór name,n.,general
Zamzam,Zomzom faní,n.,general
Zamzam,Kaabár bazáiya kuwar tú neeledé espicél borkot or faní,n.,general
Zeitgeist,tuariki zobana ekkán ór báfani – bicác wagáira ókkol ór taajuippa alaamot,n.,general
Zen,Zen Búddhá dórmo,n.,general
Zionism,Júu ókkol ór waadhá kaanun,n.,general
Zulu,Zulu koum,n.,general
Zulu,Afírikar doóin ór Zulu koum,n.,general
a,ekkán,n. adj.,general
a,uggwá,n. adj.,general
a,ek,n. adj.,general
a,eggwá,n. adj.,general
a couple of days,kessú din,n.,general
a couple of days,hoek din,n.,general
a couple of days,túra din,n.,general
a couple of days,dui tin din,n.,general
a kind of fishing net,záaiñzal,n.,general
a little bit,ekkená gori,phrase.,general
a lot of,becábicí,adj.,general
a lot of,bóut ziyadá,adj.,general
a lot of,athalaikka,adj.,general
a lot of,bóut bicí,adj.,general
a lot of,ekdóm bicí,adj.,general
a lot of,ebbre bicí,adj.,general
a number of,ho uggwá,adj.,general
a number of,ho ekzon,adj.,general
a number of,ho ekkán,adj.,general
a number of,hodún,adj.,general
a number of,hodúggun,adj.,general
a number of,kessú gona,adj.,general
a number of,adot uggwá,adj.,general
a number of,hoek,adj.,general
a number of,hoho,adj.,general
a number of,kessú,adj.,general
aback,ammúk gor,v.,general
abacus,abakas,n.,general
abacus,gulá thana hísab goróni,n.,general
abad,gor,v.,general
abad,noctho gor,v.,general
abad,bekargor,v.,general
abandon,félai dáiai,v.,general
abandon,félaide,v.,general
abandon,sáride,v.,general
abandon,félai ai,v.,general
abandon,eridái ai,v.,general
abase,gunári gor,v.,general
abase,córomde,v.,general
abase,niso gorá,v.,general
abase,holla zúka,v.,general
abate,homa,v.,general
abate,homgor,v.,general
abbey,Kriccen or giriza,n.,general
abbot,Kriccen or fúngri,n.,general
abbreviate,baiththá gor,v.,general
abbreviate,muttosor gor,v.,general
abbreviation,baiththá,n.,general
abdicate,félaiai,v.,general
abdicate,rakíai,v.,general
abdicate,toktó sáride,v.,general
abdomen,tolfeth,n.,general
abdominal,feçor,adj.,general
abdominal,fethor,adj.,general
abduct,thani loiza,v.,general
abduct,bolazuri dóriloiza,v.,general
abduct,dóri luwaifél,v.,general
abduct,búlai loiza,v.,general
abduct,dóri loiza,v.,general
abduct,ádoma gorí loiza,v.,general
abduct,abduction thani loizoon,n.,general
abduct,dóli loizoon,n.,general
abduct,adómagorí loizoon,n.,general
aberrant,mon hóraf óla,adj.,general
aberrant,niyom or noóde,adj.,general
abet,hórafit modot gor,v.,general
abide,mano,v.,general
ability,kaabeliyoti,n.,general
ability,sólahiyot,n.,general
ability,taakot,n.,general
able,fare,v.,general
able,fari,v.,general
able,faro,v.,general
ablution,uzubanoon,n.,general
abolish,mitháifél,v.,general
abolish,sáfgorifél,v.,general
abolish,báñgifél,v.,general
abort,sáfgorifél,v.,general
abort,félaide,v.,general
abort,fuafélaide,v.,general
abort,borbatgor,v.,general
abort,haçifél,v.,general
about,baabote,adj.,general
about,tokoriban,adj.,general
about,loti,adj.,general
about,cómborke,adj. Bengali.,general
about,córmonde,adj. Bengal.,general
above,uore,prep.,general
above,uortú,prep.,general
abrasion,añsádhola,n.,general
abrasion,añsá,n.,general
abroad,bidecót oinno dec ót,adv. adj.,general
abroad,baár dec ót,adv. adj.,general
absence,gair háñzir,n.,general
absence,gair háñziri,n.,general
absent,gairháñzir,adj.,general
absent,absent,v.,general
absolute,bilkúl,adj.,general
absolute,ebbre,adj.,general
absolute,ekdóm,adj.,general
absolute,cóksára,adj.,general
absolute,ekkubare,adj.,general
absolute,mukkammel,adj.,general
absolute,káamel,adj.,general
abuse,golot estemal goré,v.,general
abuse,hóraf bebaár goré,v.,general
abuse,hóraf estemal goré,v.,general
abuse,zulúm goré,v.,general
abuse,taasufi goré,v.,general
abuse,beizzoti goré,v.,general
abuse,hóraf bebáar goré,v.,general
abuse,galagali goré,v.,general
abuse,golot bebáar goré,v.,general
abuse1,beinsáfi goré,v.,general
abuse1,bekaanuni goré,v.,general
abuse1,oinnai goré,v.,general
abuse1,oinniyai goré,v.,general
abuse1,galide,v.,general
abuse1,botsólluk goré,v.,general
abuse1,hóraf zuban sola,v.,general
abuse1,botzubani goré,v.,general
academic,elómor,adj.,general
academic,elómi,n.,general
academic,elómi manúic,n.,general
accept,kobulgor,v.,general
accept,razió,v.,general
accept,manilo,v.,general
accept,fosóngor,v.,general
accept,gosílo,v.,general
accept,lo,v.,general
acceptable,luwaza,adj.,general
acceptable,kaabel kobul,adj.,general
acceptable,mokbul,adj.,general
acceptable,muwáfek,adj.,general
acceptable,kobul gorázade,adj.,general
acceptance,kobulgorá,n.,general
acceptance,raziwá,n.,general
acceptance,maniluwa,n.,general
acceptance,gosíluwa,n.,general
accepted,kobul goijjé,v.,general
accepted,kobulgorágiye,v.,general
accepted,maniloiyé,v.,general
access,rasta,n.,general
access,gólibar ejazot,n.,general
access,gólibar hók,n.,general
access,gólibar rasta,n.,general
access,góloni,n.,general
access,lootfa,v.,general
access,saáifare,n.,general
access,zaifare,n.,general
access,gólifare,n.,general
access,ejazot,n.,general
access,góli tuwo,n.,general
access,góli soó,n.,general
access,zaibella,n.,general
access to basic services,asási hédmot ókkol loot foon,phrase.,general
access to housing,gór loot foon,phrase.,general
access to land and property,zaga arde cómbotti loot foon,phrase.,general
accessory,fúañti aiyéde jiníc,n.,general
accessory,battí jiníc,n.,general
accident,mosibot,n.,general
accident,docá,n.,general
accident,hádesa,n.,general
accident,ótnofai óde maamela,n.,general
accident,éksidén,n.,general
accidentally,ótnofaiyoré,adv.,general
accidentally,nobuzíyóre,adv.,general
accidentally,misthíkgoriyóre,adv.,general
accidentally,golotgoríyóre,adv.,general
accidentally,nozaníyóre,adv.,general
accommodate,zaga de,v.,general
accommodate,cóm gor,v.,general
accommodate,tákibella zagade,v.,general
accommodate,cámil gor,v.,general
accommodate,sáya de,v.,general
accommodated,zaga diyé,v.,general
accommodated,zagadiya giyé,v.,general
accommodated,tákibar zagadiyé,v.,general
accommodated,tákibar zagadiya giyé,v.,general
accommodating,zagader,v.,general
accommodating,tákibar zagader,v.,general
accommodation,tákibar zaga,n.,general
accommodation,gúmzaibar zaga,n.,general
accommodation,gór,n.,general
accommodation,hamrá,n.,general
accommodation,ástan,n.,general
accommodation,tákibar bebostá,n.,general
accommodation,raháic,n.,general
accommodation,monzil,n.,general
accommodation,riyayec,n.,general
accompanied,fúañti,v.,general
accompanied,fúañti gor,v.,general
accompany,sáñtde,v.,general
accompany,fúañijja do,v.,general
accompanying,fúañti goríder,v.,general
accord,razinoma,n.,general
accordance,mozin,n.,general
according,mutabek,adj.,general
according,mozin,adj.,general
accordingly,mutabek,adv.,general
account,hísaf,n.,general
account,hísab,n.,general
account,hísap,n.,general
account,ekóon,n.,general
accountability,zimma,n.,general
accountability,daaitto,n.,general
accountable,zimmadar,adj.,general
accountable,daaitto dar,adj.,general
accountant,hísafgoróya,n.,general
accountant,ísafgoróya,n.,general
accountant,hísafrakóya,n.,general
accountant,ekónthén,n.,general
accounting,hísaf kitab,n.,general
accuracy,sóiyi,n.,general
accuracy,sóiyibábi,n.,general
accuracy,tondurustí,n.,general
accurate,sóiyi,adj.,general
accurate,mozbut,adj.,general
accurate,thík,adj.,general
accurate,cóthik,adj.,general
accurate,tondurus,adj.,general
accurate,cóthik,adj. Bangla.,general
accurately,sóiyigorí,adv.,general
achieve,háñsilgor,v.,general
achieve,háñsilgoré,v.,general
achievement,kaamiabi,n.,general
achieving,háñsil gorér,v.,general
achieving,háñsil gorá,n.,general
acknowledge,toslimgor,v.,general
acknowledge,tosdikgor,v.,general
acknowledge,kodorgor,v.,general
acknowledge,manilo,v.,general
acknowledge,kobulgor,v.,general
acknowledge,ekerargor,v.,general
acknowledge,faiyíde yían or cúkuria gor,v.,general
acknowledgement,toslimgorá,n.,general
acknowledgement,toslimnama,n.,general
acknowledgement,buzífaa,n.,general
acknowledgement,ekararnama,n.,general
acknowledgement,kobulgorá,n.,general
acknowledgement,tosdik,n.,general
acknowledgement,zuab,n.,general
acorn,akon gula,n.,general
across,okule,n.,general
act,ain,n.,general
act,gorá,n.,general
act,amól gorá,n.,general
act,hamgorá,n.,general
act,amól gor,v.,general
acted,amól goijjé,v.,general
acted,amól gorágiye,v.,general
acting,amól gorír,v.,general
action,karwaiyi,n.,general
action,ékcen,n.,general
action,amól,n.,general
action,hórkot,n.,general
action,amóli,n.,general
action,lorasora,n.,general
action,amólgorá,n.,general
action,hasgorá,n.,general
action,hashormo,n.,general
activate,salugor,v.,general
activation,salu goróon,n.,general
active,salu,adj.,general
active,hórkot óla,adj.,general
active,salu aséde,adj.,general
active,hórkoti,adj.,general
active,hórkot goréde,adj.,general
actively,hórkot hísafe,adv.,general
actively,duadi gorí,adv.,general
actively,jusor sáñte,adv.,general
actively,salu gorí,adv.,general
actively,hórkot gorí,adv.,general
actively,hórkot or sáñte,adv.,general
actively,zur gorí,adv.,general
actively,jucsor sáñte,adv.,general
activity,hórkot,n.,general
activity,lorasora,n.,general
activity,hashorom,n.,general
activity,hashormo,n.,general
activity,ham,n.,general
activity,hálcal,n.,general
activity,karikaram,n.,general
actor,ekthár,n.,general
actress,ekthís,n.,general
actual,asól,adj.,general
actual,hákikot,adj.,general
actual,asási,adj.,general
actual,sóiyi,adj.,general
actual,hákiki,adj.,general
actual,gomgom,adj.,general
actually,asólot,adv.,general
actually,asóle,adv.,general
actually,hákikotot,adv.,general
actually,thíkthík,adv.,general
actually,cócbuc,adv.,general
actually,waakí,adv.,general
actually,sóiyigorí,adv.,general
actually,hákiki,adv.,general
ad,elan,n.,general
ad,dhúl fiçidiya,n.,general
ad,bródkasgorá,n.,general
ad hoc,tooitta,adv.,general
ad hoc,dhángdhung,adv.,general
ad hoc,zendila ó,adv.,general
ad hoc,zendila mouka ó,adv.,general
adam’s apple,golar dana,n.,general
adam’s apple,thuñçala,n.,general
adapt,bonefán bodole,v.,general
adaptable,lagerdé éndila bodoli faredé,adj.,general
adaptation,bonefán bodola,n.,general
adaptation,bonefán bodolizoon,n.,general
add,zomade,v.,general
add,zomagor,v.,general
add,ezafágor,v.,general
add,ziyadágor,v.,general
add,aróde,v.,general
add,bicígor,v.,general
add,izafágor,v.,general
added,ziyadá goijjé,v.,general
added,zoma goijjé,v.,general
added,ziyadá gorágiye,v.,general
added,zoma gorágiye,v.,general
addition,zoma goróon,n.,general
additional,aró,adj.,general
additional,ar aró,adj.,general
additional,aró ar,adj.,general
additional,izafá,n.,general
additionally,aró,adv.,general
additionally,ar aró,adv.,general
additionally,yá aró,adv.,general
address,thíkana,n.,general
address,thíkgoijjá zaga,n.,general
addressed,huwá giye,v.,general
addressed,zana giyé,v.,general
addressed,hoiyé,v.,general
addressed,hól gorágiye,v.,general
addressing,hoór,v.,general
addressing,hoóir,v.,general
adequate,furafuri,adj.,general
adequate,ódode,adj.,general
adequate,lagerdé édun,adj.,general
adequate,káfi óde édun,adj.,general
adhere,maniza,v.,general
adhere,manizo,v.,general
adhere,falongor,v.,general
adhere,mózin,v.,general
adhere,mózin sol,v.,general
adhere,amól gor,v.,general
adjacent,bazáiya,adj.,general
adjacent,dháke bazáiya,adj.,general
adjoining,bazáiya,adj.,general
adjoining,ebbre hañsé,adj.,general
adjoining,bazáiya aséde,adj.,general
adjoining,bazáiyade,adj.,general
adjust,lar,v.,general
adjust,agefiségor,v.,general
adjust,agafisá gor,v.,general
adjust,ódodégor,v.,general
adjust,uore nise gor,v.,general
adjust,mizangor,v.,general
adjust,sóiyigor,v.,general
adjust,unnúicbic gor,v.,general
adjust,thikgor,v.,general
adjust,borabor gor,v.,general
adjust,lari thíkgor,v.,general
adjust,laribuwá,v.,general
adjust,zóbbot gor,v.,general
adjust,larasaragor,.v.,general
admin,zimmadar,n.,general
admin,zimma ola,n.,general
admin,zimma louya,n.,general
admin,entezam goróya,n.,general
admin,nal goróya,n.,general
admin,hókumot,n.,general
admin,boro,n.,general
administer,entezamgor,v.,general
administer,hókumgor,v.,general
administer,hókumot gor,v.,general
administer,sóoñl,v.,general
administer,saásita gor,v.,general
administer,hókumsola,v.,general
administered,entezam goijjé,v.,general
administered,entezam gorágiye,v.,general
administered,nal goijjé,v.,general
administered,nal gorágiye,v.,general
administration,entezam,n.,general
administrative,entezami,adj.,general
administrator,entezam goróya,n.,general
administrator,soloya,n.,general
administrator,hókumot goróya,n.,general
admirable,taarif gorázade,adj.,general
admirable,fosón gorázade,adj.,general
admire,tarifgor,v.,general
admire,fosóngor,v.,general
admire,adorgor,v.,general
admire,gom hoó,v.,general
admirer,tarif goróya,n.,general
admirer,fosón goróya,n.,general
admirer,adorgoróya,n.,general
admirer,gom hoóiya,n.,general
admit,cíkar gor,v.,general
admit,ekerar gor,v.,general
admit,kobul gor,v.,general
admit,manilo,v.,general
admit,maniza,v.,general
admit,ekarar,n.,general
admit,cíkar,n.,general
admitted,cíkar goijjé,v.,general
admitted,cíkar gorágiye,v.,general
admitted,kobul goijjé,v.,general
admitted,kobul gorágiye,v.,general
admitted,ekerar goijjé,v.,general
admitted,ekerar gorágiye,v.,general
admitted,mani loiyé,v.,general
admitted,mani luwagiyé,v.,general
adopt,fal,v.,general
adopt,afonbana,v.,general
adopt,nizorbana,v.,general
adopt,apnabana,v.,general
adult,dhoóñr manúic,n.,general
adult,juan manúic,n.,general
adult,hoicca manúic,v.,general
advance,age uza,v.,general
advance,muúmmíkka uza,v.,general
advance,ageza,v.,general
advance,sámmeza,v.,general
advanced,torki goijjé,adj.,general
advanced,torki goijjá,v.,general
advanced,unca,adj.,general
advantage,cúuida,n.,general
advantage,caáñs,n.,general
advantage,fáaida,n.,general
advantage,lafóttáka,n.,general
advantage,laf,n.,general
advantage,munafá,n.,general
adventure,hímmotgor,v.,general
adventure,bahádurigor,v.,general
adventurer,hímmot goróya,n.,general
adventurer,baháduri goróya,n.,general
adventurer,jandouya,n.,general
adventurous,bahádur óla,adj.,general
adventurous,hímmot óla,adj.,general
adventurous,bahádur wála,adj.,general
adventurous,hímmot wála,adj.,general
adverse,uldha goréde,adj.,general
adverse,bála nogoréde,adj.,general
adverse,hóraf goréde,adj.,general
adverse,gom noóde,adj.,general
adverse,hóráf,adj.,general
adverse,dukdedé,adj.,general
advice,mocuwara,n.,general
advice,solá,n.,general
advice,buddí,n.,general
advice,nisíyot,n.,general
advice,sólla,n.,general
advice,foramincó,n.,general
advice,foramoncá,n.,general
advise,mocuwara do,n.,general
advise,solá do,n.,general
advise,sólla do,n.,general
advised,mocuwara diyé,v.,general
advised,mocuwara diyagiyé,v.,general
advised,tuaijjodiyé,v.,general
advised,tuaijjo diyagiyé,v.,general
advised,boldiyé,v.,general
advised,boldiyé giyé,v.,general
adviser,mocuwara douya,n.,general
adviser,raidouya,n.,general
adviser,solá douya,n.,general
advisory,mocuwarati,adj.,general
advisory,raidouyi,adj.,general
affair,maamela,n.,general
affair,ham,n.,general
affair,amór,n.,general
affair,dánda,n.,general
affair,hotá ókkol,n.,general
affair,bebar,n.,general
affair,has,n.,general
affair,haz,n.,general
affect,asórgore,v.,general
affected,asór goijjé,v.,general
affected,asór gorágiye,v.,general
affected,duk diyé,v.,general
affected,duk diyagiyé,v.,general
affecting,asór gorér,v.,general
affecting,duk der,v.,general
affection,ador,n.,general
affray,hángama,n.,general
affray,maramari,n.,general
affray,fósad,n.,general
affray,hún,n.,general
afraid,dhora,adj.,general
afraid,dhorfuk,adj.,general
after,baade,prep.,general
after,fore,prep.,general
after,fisé,prep.,general
after,fisórtu,prep.,general
after dawn,fózor or baade,n.,general
after dawn,fójor or baade,n.,general
